,Sample_number_dada2,location,Season,Mic.Season,Month,Type,Year,Day,Comment,Run,Temp_degC,Ammonia_ug_L,NO3_NO2_N_L,TP_ug_L,O2_mg_L,pH,Chl_a_mg_L,Chl_b_mg_L,Fucoxanthin_mg_L,Dinoxanthin_mg_L,Diatoxanthin_mg_L,Zeaxanthin_mg_L,Lutein_mg_L,b_caroten_mg_L,MC_ug_L,Fish_biomass_Kg_pond,Food_Kg_pond,MC_treshold
X79,79,D1.,Spring,Wet,Mar,Fishpond,2015,1,No fish,2,18.4,83.672,2349.65,64.077,10.97,8.41,0.000494899,0,0.000151354,0,0,0,5.01E-05,0,0,,,
X85,85,V2.,Winter,Wet,Dec,Fishpond,2014,31,No fish,2,14.5,45.236,6.84,38.274,NA,9.3,0.267314401,0.06244722,0.013185754,0.014234494,0.0184429,0,0.035624361,0.007088474,0.25,,,
X96,96,Res.,Spring,Wet,Mar,Reservoir,2015,1,,2,18.7,37.0505,3705.05,32.004,8.3,8.17,0.009507329,0.001537013,0.001041533,0,0,0,0.001081529,0,0.61,,,1
X81,81,D1.,Spring,Dry,May,Fishpond,2015,6,,2,27.2,9.798,11.141,12.6895,10.08,8.73,0.030479505,0.008476714,0.010487462,0,0,0.000665538,0.004096972,0.000419118,0.19,6011,101,
X26,26,Res.,Spring,Dry,May,Reservoir,2013,27,,1,26.5,9.96,649.94,2.829,7.78,8.07,0.047092,0,0.015620604,0,0,0.001659591,0.00230276,0.000711502,0.01,,,
X38,38,Res.,Spring,Dry,May,Reservoir,2014,28,,1,27.7,33.9705,28.7815,4.62,10.22,8.04,0.028872853,0,0.018072138,0,0,0,0.001906164,0.001191243,0.05,,,
X73,73,Res.,Spring,Dry,May,Reservoir,2015,6,,2,28.2,28.3925,2839.25,3.361,9.7,8.56,0.044690914,0.005746382,0.020710528,0,0.001184233,0.000899359,0.002647311,0.000680617,0.12,,,
X32,32,Res.,Autumn,Wet,Nov,Reservoir,2013,25,Dead donkey,1,20.4,363.33,2277.97,12.743,6.33,7.44,0.087851601,0.010420362,0.016760236,0.00153252,0.003971693,0,0.002620823,0.001286847,0.29,,,1
X105,105,Res.,Autumn,Wet,Nov,Reservoir,2015,1,,2,22.6,NA,2940.35,12.5905,10.24,8.39,NA,NA,NA,NA,NA,NA,NA,NA,0.52,,,1
X31,31,Res.,Autumn,Dry,Oct,Reservoir,2013,21,,1,21,143.511,1669.7,5.884,7.5,8.45,0.052546241,0.005057255,0.021766293,0,0.006653231,0.002465516,0.00150431,0.001325187,0.8,,,1
X42,42,Res.,Autumn,Dry,Oct,Reservoir,2014,29,,1,25.7,31.859,1628.4,NA,7.7,8.05,0.029173918,0.009768465,0.007235529,0.001390184,0.003750845,0.000748352,0.003229938,0.000934906,1.55,,,1
X77,77,Res.,Autumn,Dry,Oct,Reservoir,2015,11,,2,27.9,10.821,2626.45,9.474,7.89,8.15,0.04620217,0.008170497,0.010293614,0,0.00757401,0.0008502,0.001956542,0.001839336,0.5,,,1
X80,80,D1.,Spring,Wet,Apr,Fishpond,2015,7,,2,21.8,5.1435,68.1085,13.38,7.48,8.54,0.044680135,0,0.008374843,0,0,0,0.002910279,0,0.1,4524,44,
X83,83,D1.,Summer,Dry,Aug,Fishpond,2015,24,,2,29.8,125.181,1860.85,10.272,5.64,7.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,16619,316,
X82,82,D1.,Summer,Dry,Jul,Fishpond,2015,24,,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9765,197,
X104,104,D1.,Summer,Dry,Jun,Fishpond,2015,24,,2,25,239.3545,223.531,12.5105,5.15,7.95,0.052834879,0,0.013430002,0.006639494,0,0.001543594,0.004396146,0.006048674,0.57,7809,152,
X100,100,D1.,Winter,Wet,Jan,Fishpond,2015,28,No fish,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
X94,94,V2.,Autumn,Wet,Nov,Fishpond,2014,1,No fish,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
X101,101,V2.,Winter,Wet,Dec,Fishpond,2015,31,Puddle,2,17.3,17.1745,13.081,12.638,11.02,8.9,0.054935546,NA,0.019091744,0.003959129,0,0.002316148,0.005344643,NA,0.02,,,
X86,86,V2.,Winter,Wet,Jan,Fishpond,2015,28,,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,
X87,87,V2.,Spring,Wet,Mar,Fishpond,2015,1,,2,20.9,NA,148.0765,116.9415,6.44,8.05,0.002022194,0,0.000457607,0,0,0,0.00027464,0,0,,,
X88,88,V2.,Spring,Wet,Apr,Fishpond,2015,7,,2,21.2,22.606,201.6025,3.835,10.7,9.05,0.051778078,0,0.005602635,0,0.004502571,0,0.000885518,0.000879067,0.04,2019,0,
X89,89,V2.,Spring,Dry,May,Fishpond,2015,6,,2,26.7,4.863,18.821,8.1455,9.6,8.87,0.018586505,0,0.004403323,0,0,0.000735495,0.001345426,0.000408567,0.08,348,100,
X90,90,V2.,Summer,Dry,Jun,Fishpond,2015,24,No fish,2,28,21.7625,20.7515,86.3475,6.1,8.63,0.025893997,0,0.001819835,0.000769154,0,0.003756886,0.000866875,0.000963524,NA,,,
X91,91,V2.,Summer,Dry,Aug,Fishpond,2015,24,,2,29,88.392,8.882,132.7205,5.5,8.73,NA,NA,NA,NA,NA,NA,NA,NA,,,,1
X30,30,Res.,Autumn,Dry,Sep,Reservoir,2013,22,,1,26.5,85.374,635.44,4.715,3.96,8.04,0.126083136,0,0.008291584,0,0,0.06378955,0,0.008980077,1.03,,,1
