OUT;Res.3Jan.;Res.3Feb.;Res.3Mar.;Res.3Apr.;Res.3May.;Res.3Jun.;Res.3Jul.;Res.3Aug.;Res.3Sep.;Res.3Oct.;Res.3Nov.;Res.3Dec.;Res.4Jan.;Res.4Feb.;Res.4Mar.;Res.4Apr.;Res.4May.;Res.4Jun.;Res.4Jul.;Res.4Aug.;Res.4Oct.;Res.4Nov.;Res.4Dec.;Res.5Feb.;Res.5Mar.;Res.5Apr.;Res.5May.;Res.5Jun.;Res.5Jul.;Res.5Aug.;Res.5Oct.;Res.5Nov.;Res.5Dec.;D1.3Jan.;D1.3Feb.;D1.3May.;D1.3Jun.;D1.3Jul.;D1.3Oct.;D1.4Mar.;D1.4Apr.;D1.4May.;D1.4Jun.;D1.4Jul.;D1.4Aug.;D1.4Oct.;D1.4Dec.;D1.5Mar.;D1.5Apr.;D1.5May.;D1.5Jun.;D1.5Aug.;V2.3Jan.;V2.3Feb.;V2.3Mar.;V2.3Apr.;V2.3May.;V2.3Jun.;V2.3Jul.;V2.3Aug.;V2.3Sep.;V2.4Mar.;V2.4May.;V2.4Jun.;V2.4Dec.;V2.4Nov.;V2.5Feb.;V2.5Mar.;V2.5Apr.;V2.5May.;V2.5Jun.;V2.5Aug.;V2.5Dec.
denovo52821;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
denovo52755;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0
denovo52736;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
denovo52725;3;1;0;1;0;0;0;0;0;0;0;3;9;0;1;0;0;0;0;0;0;0;1;9;20;1;2;0;0;0;0;0;0;24;36;0;0;0;0;23;0;0;0;0;0;0;124;124;0;0;0;0;28;70;0;0;1;0;0;0;0;7;0;0;0;0;41;95;0;1;0;0;0
denovo52625;2;2;2;2;2;0;1;1;1;0;1;0;0;2;0;1;7;12;1;0;0;4;5;4;1;5;7;7;5;0;1;0;1;0;2;0;0;7;0;0;0;0;0;4;2;3;1;0;1;8;6;3;0;0;1;1;0;0;1;0;2;0;0;5;0;0;1;8;0;7;1;3;3
denovo52599;0;0;0;2;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;4;1;0;0;0;0;0;0;2
denovo52590;0;0;7;4;26;6;14;1;0;0;0;0;0;0;0;0;30;131;8;8;0;2;0;0;0;3;40;28;34;16;2;0;0;0;0;4;0;19;0;0;0;2;14;10;39;1;0;0;0;19;51;12;0;0;1;4;4;0;0;0;0;0;16;0;0;0;0;0;4;259;0;5;3
denovo52548;3;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;2;0;4;1;1;0;1;0;1;2;1;3;3;2;0;0;0;7;0;0;0;0;0;0;3;0;0;1;0;0;3;7;0;0;0;0;0;0;0;0;1;0;0;0;4;10;0;0;0;0;0
denovo52495;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
denovo52457;0;1;0;0;0;0;1;0;0;0;0;2;0;0;0;0;1;2;1;1;0;2;0;5;5;1;0;1;3;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
denovo52425;2;0;0;1;0;0;0;0;0;0;1;2;0;0;1;1;3;3;0;2;0;0;6;6;3;3;5;7;4;0;0;0;2;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;6;0;4;0;0;4
denovo52397;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
denovo52388;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;2;0;1;1;0;0;0;0;0;0;2;0;0;2;0;0;0;0;1;1;0;0;0;1;0;0;1;0;1;0;1;0;1;0;0;0;0;0;2;0;0;0;0;0;1;0;0;3;0;0;0
denovo52377;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
denovo52308;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
denovo5230;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
denovo5228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;4;0;0;0;0;0;0;0;1;2;2;0;0;0;0;5;0;0;0;0;0;0;6;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
denovo52260;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
denovo52212;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
denovo52194;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
denovo5219;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
denovo52186;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;1;0;0;0;0
denovo52185;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
denovo5218;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
denovo5216;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
denovo52097;0;1;0;0;0;2;2;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
